estado,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,atr,lit,num,se,ab_p,fc_p,opr,opa,entao,fimse,fim,eof
0,s2,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0,e0
1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,e1,acc
2,e2,s4,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2,e2
3,e3,e3,e3,e3,s10,e3,e3,e3,e3,s7,s8,e3,e3,e3,s13,e3,e3,e3,e3,e3,e3,s14,e3
4,e4,e4,s17,e4,e4,e4,s19,s20,s21,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4,e4
5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,e5,R2
6,e6,e6,e6,e6,s10,e6,e6,e6,e6,s7,s8,e6,e6,e6,s13,e6,e6,e6,e6,e6,e6,s14,e6
7,e7,e7,e7,e7,s23,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7,e7
8,e8,e8,e8,e8,s27,e8,e8,e8,e8,e8,e8,e8,s25,s26,e8,e8,e8,e8,e8,e8,e8,e8,e8
9,e9,e9,e9,e9,s10,e9,e9,e9,e9,s7,s8,e9,e9,e9,s13,e9,e9,e9,e9,e9,e9,s14,e9
10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,s29,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10,e10
11,e11,e11,e11,e11,s10,e11,e11,e11,e11,s7,s8,e11,e11,e11,s13,e11,e11,e11,e11,e11,e11,s14,e11
12,e12,e12,e12,e12,s10,e12,e12,e12,e12,s7,s8,e12,e12,e12,s13,e12,e12,e12,e12,e12,s35,e12,e12
13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,e13,s36,e13,e13,e13,e13,e13,e13,e13
14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,e14,R32
15,e15,e15,e15,e15,R3,e15,e15,e15,e15,R3,R3,e15,e15,e15,R3,e15,e15,e15,e15,e15,e15,R3,e15
16,e16,e16,s17,e16,e16,e16,s19,s20,s21,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16,e16
17,e17,e17,e17,s38,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17,e17
18,e18,e18,e18,e18,s40,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18,e18
19,e19,e19,e19,e19,R9,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19,e19
20,e20,e20,e20,e20,R10,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20,e20
21,e21,e21,e21,e21,R11,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21,e21
22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,e22,R12
23,e23,e23,e23,s41,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23,e23
24,e24,e24,e24,s42,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24,e24
25,e25,e25,e25,R15,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25,e25
26,e26,e26,e26,R16,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26,e26
27,e27,e27,e27,R17,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27,e27
28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,e28,R18
29,e29,e29,e29,e29,s45,e29,e29,e29,e29,e29,e29,e29,e29,s46,e29,e29,e29,e29,e29,e29,e29,e29,e29
30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,e30,R24
31,e31,e31,e31,e31,R25,e31,e31,e31,e31,R25,R25,e31,e31,e31,R25,e31,e31,e31,e31,e31,R25,R25,e31
32,e32,e32,e32,e32,s10,e32,e32,e32,e32,s7,s8,e32,e32,e32,s13,e32,e32,e32,e32,e32,s35,e32,e32
