estado,P',P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP
0,,1,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,
2,,,3,,,,,,,,,,,,,,
3,,,,,,,,5,6,,9,,,11,12,,
4,,,,15,16,,18,,,,,,,,,,
5,,,,,,,,,,,,,,,,,
6,,,,,,,,22,6,,9,,,11,12,,
7,,,,,,,,,,,,,,,,,
8,,,,,,,,,,24,,,,,,,
9,,,,,,,,28,6,,9,,,11,12,,
10,,,,,,,,,,,,,,,,,
11,,,,,,,,30,6,,9,,,11,12,,
12,,,,,,,,,32,,33,,,34,12,,31
13,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,
16,,,,37,16,,18,,,,,,,,,,
17,,,,,,,,,,,,,,,,,
18,,,,,,39,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,43,44,,,,
30,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,
32,,,,,,,,,32,,33,,,34,12,,47
33,,,,,,,,,32,,33,,,34,12,,48
34,,,,,,,,,32,,33,,,34,12,,49
35,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,51,,,50,
37,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,
53,,,,,,57,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,59,,,,
57,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,61,,,,
61,,,,,,,,,,,,,,,,,
